,date,first,second,third,fourth,fifth,sixth,seventh
0,2021-03-10,07,11,20,24,27,01,11
1,2021-03-08,17,18,23,30,31,10,12
2,2021-03-06,11,14,21,24,31,02,10
3,2021-03-03,07,09,13,16,32,02,09
4,2021-03-01,02,12,22,30,33,02,04
5,2021-02-27,16,18,29,33,35,09,12
6,2021-02-24,07,21,22,30,33,04,06
7,2021-02-22,01,12,13,28,29,03,04
8,2021-02-20,02,20,23,26,34,05,10
9,2021-02-08,17,21,26,29,32,02,07
10,2021-02-06,08,09,10,19,34,01,02
11,2021-02-03,04,08,17,19,25,01,07
12,2021-02-01,07,13,20,27,29,04,09
13,2021-01-30,21,27,28,30,34,08,11
14,2021-01-27,06,12,20,23,33,01,09
15,2021-01-25,06,09,11,14,21,01,03
16,2021-01-23,01,05,16,22,34,08,11
17,2021-01-20,01,03,20,29,32,05,12
18,2021-01-18,05,19,20,27,33,03,08
19,2021-01-16,05,23,30,34,35,08,10
20,2021-01-13,04,22,25,28,35,04,05
21,2021-01-11,03,07,10,12,35,03,05
22,2021-01-09,05,10,17,23,28,02,08
23,2021-01-06,07,21,28,31,35,04,10
24,2021-01-04,02,16,26,31,34,09,11
25,2021-01-02,02,06,12,19,33,08,09
26,2020-12-30,08,11,13,22,25,04,07
27,2020-12-28,11,24,26,33,35,08,09
28,2020-12-26,03,15,16,17,21,07,10
29,2020-12-23,08,25,27,29,35,02,03
30,2020-12-21,16,17,23,26,32,02,12
31,2020-12-19,10,22,27,33,34,01,11
32,2020-12-16,09,12,13,26,33,04,10
33,2020-12-14,01,04,17,18,26,03,10
34,2020-12-12,01,04,09,22,28,04,12
35,2020-12-09,01,02,03,08,22,01,04
36,2020-12-07,11,15,24,26,35,04,05
37,2020-12-05,01,07,11,15,21,04,11
38,2020-12-02,08,19,29,34,35,06,11
39,2020-11-30,09,17,27,28,35,03,08
40,2020-11-28,05,25,26,30,35,04,10
41,2020-11-25,14,22,24,28,32,07,08
42,2020-11-23,01,09,15,30,33,04,09
43,2020-11-21,07,19,20,23,24,05,10
44,2020-11-18,08,10,12,16,22,03,09
45,2020-11-16,01,09,18,19,23,01,09
46,2020-11-14,10,12,21,24,30,03,07
47,2020-11-11,06,14,18,28,33,02,05
48,2020-11-09,08,11,13,30,32,02,06
49,2020-11-07,05,07,09,20,28,02,07
50,2020-11-04,11,16,20,21,28,05,11
51,2020-11-02,02,20,21,23,32,06,12
